n,num_switches,protocol,runs,mean_success_rate,mean_address_latency,std_address_latency,mean_ra_wait,std_ra_wait,mean_dad_latency,std_dad_latency,mean_first_packet_latency,std_first_packet_latency,mean_total_latency,std_total_latency
1,5,IPv4,5,100.0,1.1154,0.0229,,,,,0.0022,0.0002,1.1176,0.0228
1,5,IPv6,5,100.0,2.7844,0.3854,1.0318,0.0007,1.7526,0.3854,0.0024,0.0001,2.7869,0.3855
5,5,IPv4,5,96.0,1.163,0.0037,,,,,0.004,0.0013,1.167,0.004
5,5,IPv6,5,100.0,2.5113,0.1976,0.9923,0.0135,1.519,0.2034,0.0028,0.0002,2.5141,0.1977
10,5,IPv4,5,100.0,1.2907,0.0175,,,,,0.0079,0.0011,1.2986,0.018
10,5,IPv6,5,100.0,2.5379,0.0731,0.9928,0.0135,1.5451,0.0826,0.0031,0.0003,2.541,0.073
20,5,IPv4,5,98.0,1.538,0.0868,,,,,0.0128,0.002,1.5509,0.0876
20,5,IPv6,5,100.0,2.4983,0.0361,0.9782,0.009,1.5202,0.0393,0.0056,0.0011,2.5039,0.037
50,5,IPv4,5,100.0,1.9395,0.1308,,,,,0.0231,0.0032,1.9626,0.1332
50,5,IPv6,5,100.0,2.3727,0.0219,0.9488,0.0204,1.4239,0.027,0.0147,0.0009,2.3875,0.0214
100,5,IPv4,5,100.0,2.8882,0.0987,,,,,0.0386,0.0039,2.9268,0.0981
100,5,IPv6,5,100.0,2.4846,0.2987,1.1836,0.2274,1.3009,0.0911,0.0641,0.0108,2.5487,0.2938
